Category,Disease,Prevention_Tip
Infectious Diseases,Abscess,Maintain good hygiene; clean wounds promptly.
Infectious Diseases,Acquired Immuno Deficiency Syndrome,Practice safe sex; avoid sharing needles.
Infectious Diseases,Acute encephalitis syndrome,"Vaccination (if available, e.g., JE); mosquito control."
Infectious Diseases,Adult Inclusion Conjunctivitis,Practice safe sex (often linked to Chlamydia).
Infectious Diseases,Amoebiasis,Ensure safe drinking water and food; good hygiene.
Infectious Diseases,Anthrax,Avoid contact with infected animals/products; vaccination for high-risk groups.
Infectious Diseases,Aseptic meningitis,"Vaccination for some causes (e.g., Mumps); good hygiene."
Infectious Diseases,Black Death,Avoid contact with infected rodents/fleas; seek immediate treatment if exposed.
Infectious Diseases,Botulism,Proper food canning/preparation; avoid honey for infants <1 year.
Infectious Diseases,Brucellosis,Avoid unpasteurized dairy; use protection when handling animals/carcasses.
Infectious Diseases,Campylobacter infection,Proper food handling (esp. poultry); safe water.
Infectious Diseases,Candidiasis,"Maintain good hygiene; manage underlying conditions (e.g., diabetes); avoid unnecessary antibiotics."
Infectious Diseases,Chagas disease,Vector control (kissing bugs); screen blood donations.
Infectious Diseases,Chickenpox,Vaccination (Varicella vaccine).
Infectious Diseases,Chikungunya Fever,Mosquito control (Aedes mosquitoes).
Infectious Diseases,Chlamydia,Practice safe sex; regular screening for sexually active individuals.
Infectious Diseases,Cholera,Ensure safe drinking water and food sanitation; vaccination in high-risk areas.
Infectious Diseases,Common cold,Frequent handwashing; avoid close contact with infected people.
Infectious Diseases,Condyloma,HPV vaccination; practice safe sex.
Infectious Diseases,Coronavirus disease 2019,Vaccination; hand hygiene; masks in crowded settings; good ventilation.
Infectious Diseases,Crimean Congo haemorrhagic fever,Avoid tick bites; use protection when handling livestock in endemic areas.
Infectious Diseases,Dengue,Mosquito control (Aedes mosquitoes); avoid mosquito bites.
Infectious Diseases,Diphtheria,"Vaccination (DTaP, Tdap, Td)."
Infectious Diseases,Dracunculiasis (guinea-worm disease),Ensure safe drinking water (filter or boil).
Infectious Diseases,Dysentery,Ensure safe drinking water and food; good hygiene.
Infectious Diseases,Ear infection,"Vaccination (pneumococcal, flu); avoid smoke exposure; good hygiene."
Infectious Diseases,Ebola,Avoid contact with infected individuals/animals/fluids; strict infection control.
Infectious Diseases,Food Poisoning,"Proper food handling, cooking, and storage."
Infectious Diseases,Gastroenteritis,Frequent handwashing; safe food and water practices.
Infectious Diseases,Genital herpes,Practice safe sex; antiviral medication can reduce transmission.
Infectious Diseases,Gonorrhea,Practice safe sex; regular screening.
Infectious Diseases,"Hand, Foot and Mouth Disease",Frequent handwashing; avoid close contact with infected people.
Infectious Diseases,"Hepatitis A, B, C, D, E","Vaccination (Hep A, Hep B); safe sex; avoid sharing needles; safe food/water (Hep A/E)."
Infectious Diseases,Herpes Simplex,Avoid direct contact with sores; practice safe sex (for genital herpes).
Infectious Diseases,Human papillomavirus,HPV vaccination; practice safe sex; regular screening (Pap test for cervical cancer).
Infectious Diseases,Impetigo,Good hygiene; clean cuts/scrapes promptly; avoid contact with infected sores.
Infectious Diseases,Influenza,Annual flu vaccination; hand hygiene; avoid close contact with sick people.
Infectious Diseases,Japanese Encephalitis,Vaccination; mosquito control.
Infectious Diseases,Kala-azar/ Leishmaniasis,"Avoid sandfly bites (use repellent, nets); environmental management."
Infectious Diseases,Legionellosis,"Proper maintenance of water systems (cooling towers, plumbing)."
Infectious Diseases,Leprosy,Early diagnosis and treatment of cases reduces spread; prevention unclear.
Infectious Diseases,Leptospirosis,Avoid contact with contaminated water/soil (animal urine); protective clothing.
Infectious Diseases,Lice,"Avoid head-to-head contact; don't share hats, combs, towels."
Infectious Diseases,Lyme disease,"Avoid tick bites (repellents, protective clothing, check for ticks)."
Infectious Diseases,Malaria,"Avoid mosquito bites (nets, repellents); preventive medication in high-risk areas."
Infectious Diseases,Marburg fever,Avoid contact with fruit bats and infected individuals/primates in endemic areas.
Infectious Diseases,Measles,Vaccination (MMR vaccine).
Infectious Diseases,Middle East respiratory syndrome coronavirus,Avoid contact with camels; good hygiene; avoid close contact with sick people.
Infectious Diseases,Mononucleosis,"Avoid sharing drinks, utensils, or kissing someone infected (often spreads via saliva)."
Infectious Diseases,Mumps,Vaccination (MMR vaccine).
Infectious Diseases,Necrotizing Fasciitis,Good wound care; good hygiene; seek prompt treatment for skin infections.
Infectious Diseases,Nipah virus infection,"Avoid contact with infected bats, pigs, or people; avoid raw date palm sap."
Infectious Diseases,Osteomyelitis,Prompt treatment of infections; good foot care for diabetics; clean wounds.
Infectious Diseases,Paratyphoid fever,Ensure safe drinking water and food; good hygiene; vaccination (for Typhoid).
Infectious Diseases,Pelvic inflammatory disease,Practice safe sex; prompt treatment of STIs.
Infectious Diseases,Peritonitis,"Prompt treatment of underlying abdominal issues (e.g., appendicitis); sterile technique for peritoneal dialysis."
Infectious Diseases,Pneumonia,"Vaccination (pneumococcal, flu, Hib); avoid smoking; good hygiene."
Infectious Diseases,Poliomyelitis,"Vaccination (IPV, OPV)."
Infectious Diseases,Puerperal sepsis,Good hygiene during childbirth; sterile techniques; prompt treatment of infections.
